Date,Price,Open,High,Low,Vol.,Change %
08/09/2023,11.4255,11.4576,11.474,11.4041,,-0.25%
11/09/2023,11.4414,11.426,11.474,11.3904,,0.14%
12/09/2023,11.4647,11.4358,11.4937,11.4187,,0.20%
13/09/2023,11.4863,11.4775,11.511,11.4552,,0.19%
14/09/2023,11.4159,11.4936,11.5202,11.42,,-0.61%
15/09/2023,11.4725,11.42,11.5142,11.4026,,0.50%
18/09/2023,11.5497,11.4911,11.5967,11.4604,,0.67%
19/09/2023,11.4887,11.5583,11.5908,11.476,,-0.53%
20/09/2023,11.4994,11.5219,11.5489,11.4538,,0.09%
21/09/2023,11.4776,11.5021,11.5639,11.4527,,-0.19%
22/09/2023,11.421,11.4901,11.5576,11.3972,,-0.49%
25/09/2023,11.4379,11.4966,11.5021,11.4028,,0.15%
26/09/2023,11.4327,11.4465,11.5389,11.4108,,-0.05%
27/09/2023,11.2951,11.4333,11.4548,11.2752,,-1.20%
28/09/2023,11.3277,11.3062,11.3491,11.2573,,0.29%
29/09/2023,11.2918,11.34,11.3577,11.2172,,-0.32%
02/10/2023,11.3723,11.3033,11.4097,11.2385,,0.71%
03/10/2023,11.4785,11.3766,11.5218,11.3484,,0.93%
04/10/2023,11.5149,11.4773,11.5838,11.455,,0.32%
05/10/2023,11.5604,11.5517,11.5986,11.5161,,0.40%
06/10/2023,11.5402,11.5641,11.639,11.5274,,-0.17%
09/10/2023,11.3908,11.6194,11.6199,11.3857,,-1.29%
10/10/2023,11.4612,11.3969,11.508,11.3693,,0.62%
11/10/2023,11.5227,11.4655,11.5475,11.4382,,0.54%
12/10/2023,11.5531,11.5258,11.5814,11.4824,,0.26%
13/10/2023,11.4465,11.557,11.588,11.4658,,-0.92%
16/10/2023,11.5207,11.5538,11.6175,11.4656,,0.65%
17/10/2023,11.5729,11.5319,11.6187,11.5172,,0.45%
18/10/2023,11.6163,11.5784,11.6639,11.5618,,0.38%
19/10/2023,11.6367,11.6337,11.7143,11.6048,,0.18%
20/10/2023,11.7023,11.6383,11.7458,11.6111,,0.56%
23/10/2023,11.8141,11.7311,11.8279,11.691,,0.96%
24/10/2023,11.8114,11.8212,11.8572,11.7741,,-0.02%
25/10/2023,11.8161,11.8308,11.8641,11.7823,,0.04%
26/10/2023,11.82,11.8494,11.8796,11.7978,,0.03%
27/10/2023,11.7954,11.8271,11.8567,11.7951,,-0.21%
30/10/2023,11.8163,11.8125,11.8633,11.7536,,0.18%
31/10/2023,11.8135,11.8336,11.8865,11.8022,,-0.02%
01/11/2023,11.807,11.821,11.8526,11.7788,,-0.06%
02/11/2023,11.8427,11.82,11.9049,11.743,,0.30%
03/11/2023,11.8229,11.8623,11.9063,11.8254,,-0.17%
06/11/2023,11.8449,11.8406,11.8946,11.8141,,0.19%
07/11/2023,11.9606,11.8521,11.9899,11.8287,,0.98%
08/11/2023,11.9581,11.9678,12.0076,11.9249,,-0.02%
09/11/2023,11.9643,11.9676,11.9916,11.9005,,0.05%
10/11/2023,11.8643,11.9665,12.0073,11.8591,,-0.84%
13/11/2023,11.8552,11.877,11.9374,11.8325,,-0.08%
14/11/2023,11.827,11.858,11.976,11.8272,,-0.24%
15/11/2023,11.7331,11.8387,11.8588,11.688,,-0.79%
16/11/2023,11.857,11.7366,11.8808,11.6982,,1.06%
17/11/2023,11.7752,11.8679,11.892,11.7745,,-0.69%
20/11/2023,11.6988,11.804,11.8327,11.7001,,-0.65%
21/11/2023,11.6467,11.7123,11.7399,11.6254,,-0.45%
22/11/2023,11.7102,11.6516,11.7507,11.6328,,0.55%
23/11/2023,11.7323,11.725,11.7643,11.6715,,0.19%
24/11/2023,11.689,11.7416,11.7959,11.681,,-0.37%
27/11/2023,11.6479,11.7821,11.8226,11.6493,,-0.35%
28/11/2023,11.6702,11.6526,11.7421,11.6282,,0.19%
29/11/2023,11.6902,11.6768,11.7404,11.652,,0.17%
30/11/2023,11.7667,11.6951,11.788,11.6685,,0.65%
01/12/2023,11.6144,11.7699,11.7866,11.591,,-1.29%
04/12/2023,11.7475,11.6234,11.7734,11.5806,,1.15%
05/12/2023,11.7943,11.7532,11.8048,11.7207,,0.40%
06/12/2023,11.811,11.7919,11.8446,11.7711,,0.14%
07/12/2023,11.731,11.8218,11.8327,11.7239,,-0.68%
08/12/2023,11.7315,11.7359,11.7812,11.6947,,0.00%
11/12/2023,11.7934,11.7539,11.8071,11.7122,,0.53%
12/12/2023,11.8345,11.7934,11.8676,11.7514,,0.35%
13/12/2023,11.7209,11.833,11.8714,11.7153,,-0.96%
14/12/2023,11.5381,11.729,11.7845,11.4904,,-1.56%
15/12/2023,11.3812,11.5567,11.575,11.3816,,-1.36%
