Date,Price,Open,High,Low,Vol.,Change %
25/04/2023,75.32,75.5,75.58,75.08,853.26K,-0.24%
26/04/2023,76.1,75.3,76.18,75.04,1.26M,1.04%
27/04/2023,76.02,76.1,76.58,75.9,818.27K,-0.11%
28/04/2023,76.6,76.14,76.98,75.94,1.37M,0.76%
02/05/2023,76.56,76.64,76.76,75.94,979.40K,-0.05%
03/05/2023,76.66,76.54,77,76.44,1.05M,0.13%
04/05/2023,76,76,76.16,75.14,666.01K,-0.86%
05/05/2023,75.46,76.36,76.66,75.04,576.66K,-0.71%
08/05/2023,75.72,75.42,75.92,75.4,728.87K,0.34%
09/05/2023,81.38,78,81.38,77.8,3.51M,7.47%
10/05/2023,81.4,83,83.22,80.92,1.61M,0.02%
11/05/2023,81.26,81.64,81.96,80.72,1.12M,-0.17%
12/05/2023,81.2,81.22,81.76,80.84,881.31K,-0.07%
15/05/2023,81.58,81.4,82.14,81.18,655.77K,0.47%
16/05/2023,81.7,81.68,82.28,81.24,986.58K,0.15%
19/05/2023,82.88,81.3,82.88,81.22,1.19M,1.44%
22/05/2023,82.08,82.9,82.9,81.5,809.25K,-0.97%
23/05/2023,81.24,81.84,82.14,81.2,906.17K,-1.02%
24/05/2023,81.72,81.04,81.72,80.76,1.00M,0.59%
25/05/2023,81.02,81.7,81.7,80.7,914.50K,-0.86%
26/05/2023,81.36,81.14,81.36,80.82,867.37K,0.42%
30/05/2023,80.44,81.44,81.5,80.28,696.76K,-1.13%
31/05/2023,79.86,80.06,80.82,79.86,4.05M,-0.72%
01/06/2023,80.28,80.22,80.7,80.1,572.72K,0.53%
02/06/2023,79.2,80.2,80.2,78.62,1.13M,-1.35%
05/06/2023,79.6,79.26,79.6,78.92,797.10K,0.51%
06/06/2023,79.06,79.42,79.5,78.78,763.70K,-0.68%
07/06/2023,78.4,78.78,79.1,78.32,1.33M,-0.83%
08/06/2023,77.76,78.2,78.3,77.46,1.19M,-0.82%
09/06/2023,77.8,77.9,78.06,77.34,844.21K,0.05%
12/06/2023,77.7,78,78.32,77.68,1.19M,-0.13%
13/06/2023,77.3,77.82,78.2,77.14,948.20K,-0.51%
14/06/2023,76.94,77.18,77.66,76.74,1.47M,-0.47%
15/06/2023,77.56,76.96,77.84,76.94,1.13M,0.81%
16/06/2023,78.88,77.68,79.16,77.52,3.04M,1.70%
19/06/2023,77.72,78.7,78.7,77.72,660.46K,-1.47%
20/06/2023,77.22,77.7,78.02,77.12,1.65M,-0.64%
21/06/2023,77.54,77.16,78.08,76.52,1.11M,0.41%
22/06/2023,76.9,77.56,77.56,76.48,1.03M,-0.83%
23/06/2023,77.26,77.04,77.56,77.04,476.44K,0.47%
26/06/2023,76.32,77.34,77.34,76.16,928.19K,-1.22%
27/06/2023,76.52,76.36,76.78,75.88,843.88K,0.26%
28/06/2023,76.82,76.84,76.98,76.3,834.96K,0.39%
29/06/2023,76.7,76.68,77.08,76.24,833.69K,-0.16%
30/06/2023,77.1,76.72,77.2,76.4,1.25M,0.52%
03/07/2023,77.54,77.12,77.78,77,653.30K,0.57%
04/07/2023,78.16,77.5,78.28,77.46,536.02K,0.80%
05/07/2023,77.88,77.84,78.18,77.74,1.12M,-0.36%
06/07/2023,77.56,78.06,78.24,77.52,929.91K,-0.41%
07/07/2023,76.82,77.52,77.54,76.64,790.74K,-0.95%
10/07/2023,77.38,76.74,77.56,76.56,692.45K,0.73%
11/07/2023,77.12,77.3,77.46,76.9,1.38M,-0.34%
12/07/2023,76.94,77.18,77.34,76.76,907.12K,-0.23%
13/07/2023,76.76,77,77.26,76.66,1.65M,-0.23%
14/07/2023,80.72,79.4,81.38,79.08,1.58M,5.16%
17/07/2023,79.18,81.4,81.66,79.04,1.05M,-1.91%
18/07/2023,79.84,79.24,80.08,79.08,477.33K,0.83%
19/07/2023,80.04,80,80.36,79.88,643.31K,0.25%
20/07/2023,80.7,79.88,80.84,79.52,1.06M,0.82%
21/07/2023,81.18,80.7,81.18,80.22,656.74K,0.59%
24/07/2023,80.34,81.14,81.2,80.1,425.13K,-1.03%
25/07/2023,80.44,80.16,80.66,80,352.26K,0.12%
26/07/2023,80.18,80.34,80.44,79.68,512.29K,-0.32%
27/07/2023,81.14,80.44,81.3,80.26,727.40K,1.20%
28/07/2023,80.36,80.9,80.98,80.08,438.90K,-0.96%
31/07/2023,80.08,80.02,80.34,79.88,1.16M,-0.35%
01/08/2023,80.42,79.84,80.42,79.48,529.96K,0.42%
02/08/2023,80.54,79.96,80.82,79.94,811.53K,0.15%
03/08/2023,79.74,79.88,80.08,79.5,634.29K,-0.99%
04/08/2023,79.02,79.82,79.82,78.76,641.12K,-0.90%
07/08/2023,79,79,79.12,78.62,475.60K,-0.03%
08/08/2023,79.32,79.02,79.8,79.02,726.53K,0.41%
09/08/2023,79.16,79.54,79.58,79,711.37K,-0.20%
10/08/2023,80.04,79.4,80.2,79.2,519.67K,1.11%
11/08/2023,79.7,79.92,80.4,79.6,496.91K,-0.42%
14/08/2023,79.68,79.62,79.98,79.34,499.36K,-0.03%
15/08/2023,80.04,79.54,80.2,79.54,630.07K,0.45%
16/08/2023,80.58,80.06,80.6,79.94,636.87K,0.67%
17/08/2023,80.7,80.42,80.88,80,1.22M,0.15%
18/08/2023,80.2,80.44,80.58,79.56,982.38K,-0.62%
21/08/2023,79.98,80.24,81.08,79.88,926.16K,-0.27%
22/08/2023,79.48,80.34,80.34,79.4,835.96K,-0.63%
23/08/2023,80.46,79.74,80.68,79.44,1.63M,1.23%
24/08/2023,80.84,80.9,81.1,80.32,533.21K,0.47%
25/08/2023,80.54,80.82,81.04,80.48,543.87K,-0.37%
28/08/2023,81.16,81,81.24,80.82,379.22K,0.77%
29/08/2023,80.56,81.32,81.44,80.52,618.09K,-0.74%
30/08/2023,81.02,80.72,81.02,80.14,500.89K,0.57%
31/08/2023,81.28,81,81.3,80.6,2.64M,0.32%
01/09/2023,80.2,81.14,81.42,80.2,702.70K,-1.33%
04/09/2023,79.72,80.2,80.26,79.56,423.69K,-0.60%
05/09/2023,79.1,79.5,79.52,78.66,806.18K,-0.78%
06/09/2023,79.04,79.06,79.22,78.34,700.93K,-0.08%
07/09/2023,79.86,78.86,79.92,78.86,579.15K,1.04%
08/09/2023,80.56,80.04,81.14,79.84,609.24K,0.88%
11/09/2023,81.7,80.66,81.88,80.66,729.54K,1.42%
12/09/2023,81.68,81.8,83.02,81.68,1.19M,-0.02%
13/09/2023,82.12,81.14,82.12,81.12,813.47K,0.54%
14/09/2023,82.14,82.4,82.5,81.54,771.09K,0.02%
15/09/2023,82.74,82.26,83.84,82.26,2.74M,0.73%
18/09/2023,83.3,82.48,83.32,82.26,402.10K,0.68%
19/09/2023,82.92,83.24,83.86,82.7,504.14K,-0.46%
20/09/2023,83.2,83,83.54,83,500.92K,0.34%
21/09/2023,83.26,83.12,83.48,82.7,614.03K,0.07%
22/09/2023,82.92,83,83.26,82.64,699.32K,-0.41%
25/09/2023,82.5,82.8,82.8,81.94,680.96K,-0.51%
26/09/2023,80.5,82.4,82.4,80.02,1.23M,-2.42%
27/09/2023,80.24,80.24,81.08,80.24,724.49K,-0.32%
28/09/2023,79.56,79.58,80.32,79.22,933.09K,-0.85%
29/09/2023,79.98,79.98,80.7,79.82,1.84M,0.53%
02/10/2023,79.6,80,80.52,79.52,1.81M,-0.48%
03/10/2023,79.72,79.8,80.56,79.68,953.40K,0.15%
04/10/2023,80.04,79.5,80.86,79.42,829.81K,0.40%
05/10/2023,80.8,80.26,81.14,79.98,558.30K,0.95%
06/10/2023,79.56,80.7,80.7,79.56,691.22K,-1.53%
09/10/2023,79.9,79.84,80.32,79.52,702.33K,0.43%
10/10/2023,79.72,80.52,80.92,79,1.13M,-0.23%
11/10/2023,80.3,80.04,80.7,79.7,1.12M,0.73%
12/10/2023,80.94,80.42,81.18,80.24,1.05M,0.80%
13/10/2023,80.96,80.78,81.32,80.6,599.74K,0.02%
16/10/2023,80.5,81.02,81.02,80.02,481.82K,-0.57%
17/10/2023,81.68,80.42,81.78,80.12,766.53K,1.47%
18/10/2023,81.4,81.66,81.7,80.8,469.56K,-0.34%
19/10/2023,80.68,80.64,81.38,80.52,642.86K,-0.88%
20/10/2023,80.28,80.28,80.92,80.06,939.87K,-0.50%
23/10/2023,79.54,80.06,80.28,79.24,955.03K,-0.92%
24/10/2023,80.18,79.46,80.42,79.44,744.08K,0.80%
25/10/2023,81.16,80.04,81.3,80.04,694.21K,1.22%
26/10/2023,74.78,80.3,80.94,73.88,1.81M,-7.86%
