Date,Price,Open,High,Low,Vol.,Change %
31/03/2023,11.2467,11.2977,11.3222,11.2388,,-0.36%
03/04/2023,11.2909,11.2759,11.3177,11.2333,,0.39%
04/04/2023,11.2521,11.3026,11.3306,11.2396,,-0.34%
05/04/2023,11.3257,11.2682,11.3639,11.2382,,0.65%
06/04/2023,11.3823,11.3441,11.4073,11.2986,,0.50%
07/04/2023,11.3939,11.389,11.4391,11.3634,,0.10%
10/04/2023,11.425,11.415,11.4528,11.3918,,0.27%
11/04/2023,11.4037,11.4308,11.4448,11.3874,,-0.19%
12/04/2023,11.3742,11.4074,11.4274,11.3069,,-0.26%
13/04/2023,11.3315,11.3752,11.4074,11.3331,,-0.38%
14/04/2023,11.3617,11.3432,11.3924,11.3189,,0.27%
17/04/2023,11.3057,11.3541,11.3706,11.2923,,-0.49%
18/04/2023,11.3149,11.3106,11.3332,11.2656,,0.08%
19/04/2023,11.3368,11.3176,11.3511,11.2893,,0.19%
20/04/2023,11.3019,11.3437,11.3617,11.2999,,-0.31%
21/04/2023,11.3034,11.3198,11.3623,11.2906,,0.01%
24/04/2023,11.3028,11.3134,11.3516,11.2923,,-0.01%
25/04/2023,11.3042,11.3153,11.3478,11.2912,,0.01%
26/04/2023,11.3969,11.313,11.4307,11.2791,,0.82%
27/04/2023,11.3472,11.4007,11.4221,11.342,,-0.44%
28/04/2023,11.2961,11.353,11.382,11.2912,,-0.45%
01/05/2023,11.3062,11.3128,11.3567,11.285,,0.09%
02/05/2023,11.3302,11.3258,11.356,11.2628,,0.21%
03/05/2023,11.3439,11.3392,11.3732,11.3032,,0.12%
04/05/2023,11.2787,11.3544,11.3783,11.2746,,-0.57%
05/05/2023,11.1759,11.2814,11.3142,11.184,,-0.91%
08/05/2023,11.1769,11.2004,11.2435,11.1697,,0.01%
09/05/2023,11.1844,11.1871,11.2115,11.1598,,0.07%
10/05/2023,11.2187,11.1938,11.2433,11.1598,,0.31%
11/05/2023,11.2778,11.2199,11.2956,11.1965,,0.53%
12/05/2023,11.2536,11.2819,11.3012,11.2231,,-0.21%
15/05/2023,11.2503,11.2738,11.3199,11.2398,,-0.03%
16/05/2023,11.2626,11.2581,11.323,11.2334,,0.11%
17/05/2023,11.3222,11.2847,11.3459,11.2694,,0.53%
18/05/2023,11.3626,11.3249,11.4102,11.3072,,0.36%
19/05/2023,11.3605,11.3761,11.398,11.3475,,-0.02%
22/05/2023,11.4043,11.3688,11.4359,11.3519,,0.39%
23/05/2023,11.4396,11.4197,11.4623,11.3835,,0.31%
24/05/2023,11.5196,11.4429,11.5464,11.4238,,0.70%
25/05/2023,11.6066,11.5259,11.6207,11.505,,0.76%
26/05/2023,11.5682,11.6055,11.6223,11.5089,,-0.33%
29/05/2023,11.5673,11.5977,11.622,11.5633,,-0.01%
30/05/2023,11.6646,11.5569,11.6798,11.5569,,0.84%
31/05/2023,11.5957,11.6758,11.6976,11.5916,,-0.59%
01/06/2023,11.632,11.6057,11.6669,11.578,,0.31%
02/06/2023,11.5501,11.6369,11.6511,11.5071,,-0.70%
05/06/2023,11.6152,11.561,11.6666,11.5514,,0.56%
06/06/2023,11.6669,11.6338,11.6863,11.5811,,0.45%
07/06/2023,11.646,11.6706,11.7031,11.6107,,-0.18%
