Date,Price,Open,High,Low,Vol.,Change %
08/11/2023,154.84,155.41,155.41,153.08,,-0.61%
08/14/2023,153.31,154.85,154.85,152.66,,-0.99%
08/15/2023,152.22,153.66,154.16,151.74,,-0.71%
08/16/2023,152.18,151.98,152.62,151.07,,-0.03%
08/17/2023,153.07,152.07,153.54,151.73,,0.58%
08/18/2023,152.9,152.89,153.27,151.09,,-0.11%
08/21/2023,154,152.89,155.82,152.89,,0.72%
08/22/2023,154.66,154.15,155.3,153.66,,0.43%
08/23/2023,152.47,154.77,154.77,151.39,,-1.42%
08/24/2023,152.94,152.53,153.78,152.2,,0.31%
08/25/2023,153.5,152.9,154.67,152.9,,0.37%
08/28/2023,154.21,153.56,154.58,153.56,,0.46%
08/29/2023,155.49,154.39,156.49,154.39,,0.83%
08/30/2023,156.14,155.54,156.99,155.54,,0.42%
08/31/2023,156.11,156.34,157.32,156.11,,-0.02%
09/01/2023,158.97,156.41,159.97,156.41,,1.83%
09/04/2023,159.04,159.71,160.22,158.83,,0.04%
09/05/2023,161.55,158.75,162.47,157.86,,1.58%
09/06/2023,161.59,161.26,162.64,160.66,,0.02%
09/07/2023,161.91,161.53,162.54,161.02,,0.20%
09/08/2023,162.73,161.88,162.8,160.85,,0.51%
09/11/2023,163.76,162.85,164.64,162.74,,0.63%
09/12/2023,164.67,163.15,164.68,162.72,,0.56%
09/13/2023,163.39,164.31,165.61,163.04,,-0.78%
09/14/2023,167.29,163.5,167.55,163.5,,2.39%
09/15/2023,167.03,167.42,168.64,166.78,,-0.16%
09/18/2023,166.31,166.94,167.47,165.85,,-0.43%
09/19/2023,168.23,166.53,168.42,166.53,,1.15%
09/20/2023,166.75,166.97,167.59,164.47,,-0.88%
09/21/2023,165.76,166.27,167.65,164.11,,-0.59%
09/22/2023,166.3,165.73,167.14,164.54,,0.33%
09/25/2023,166.42,166.12,167.13,165.01,,0.07%
09/26/2023,165.81,166.21,166.22,163.98,,-0.37%
09/27/2023,168.57,166.1,168.6,165.92,,1.66%
09/28/2023,169.92,168.69,171.48,168.69,,0.80%
09/29/2023,166.88,170.14,170.14,166.62,,-1.79%
10/02/2023,164.47,167.26,168.06,164.17,,-1.44%
10/03/2023,163.4,164.07,165.5,162.99,,-0.65%
10/04/2023,159.67,163.34,163.82,158.66,,-2.28%
10/05/2023,159.67,159.56,160.3,155.5,,0.00%
10/06/2023,161.78,159.83,162.49,159.46,,1.32%
10/09/2023,166.26,164.65,166.92,164,,2.77%
10/10/2023,167.57,166.28,167.63,164.19,,0.79%
10/11/2023,166.6,167.68,170.05,166.34,,-0.58%
10/12/2023,168.98,166.58,169.84,166.58,,1.43%
10/13/2023,171.51,168.93,172.36,168.93,,1.50%
10/16/2023,172.2,171.49,173.33,171.49,,0.40%
10/17/2023,172.87,172.16,173.47,171.64,,0.39%
10/18/2023,173.65,172.95,174.96,172.95,,0.45%
10/19/2023,172.03,173.51,173.89,170.32,,-0.93%
10/20/2023,169.92,171.77,172.99,169.6,,-1.23%
10/23/2023,168.88,169.96,170.23,167.92,,-0.61%
10/24/2023,168.44,169.01,170.14,167.63,,-0.26%
10/25/2023,168.33,168.28,168.98,167.15,,-0.07%
10/26/2023,168.21,168.22,169.17,167.02,,-0.07%
10/27/2023,168.59,169.11,172.27,168.05,,0.23%
10/30/2023,167.74,168.4,169.87,167.06,,-0.50%
10/31/2023,165.8,166.56,166.77,164.22,,-1.16%
11/01/2023,166.01,165.91,167.63,164.39,,0.13%
11/02/2023,169.55,165.81,169.8,165.72,,2.13%
11/03/2023,164.86,169.73,170.2,163.39,,-2.77%
11/06/2023,166.08,164.74,166.73,164.49,,0.74%
11/07/2023,162.02,165.86,165.86,161.96,,-2.44%
11/08/2023,160.41,161.55,162.04,160.38,,-0.99%
11/09/2023,161.46,160.2,161.62,158.7,,0.65%
11/10/2023,162.38,161.59,163.62,161.51,,0.57%
11/13/2023,164.67,162.56,164.89,162.37,,1.41%
11/14/2023,163.51,164.92,165.32,162.27,,-0.70%
11/15/2023,163.75,163.36,164.19,162.59,,0.15%
11/16/2023,158.93,163.43,163.43,158.75,,-2.94%
11/17/2023,161.52,158.82,161.94,158.82,,1.63%
11/20/2023,163.56,161.7,163.96,161.63,,1.26%
11/21/2023,162.69,163.59,163.59,161.58,,-0.53%
11/22/2023,159.6,162.79,163.45,158.13,,-1.90%
11/23/2023,162.04,159.92,162.42,159.92,,1.53%
11/24/2023,163.22,161.89,163.67,161.79,,0.73%
11/27/2023,162.23,162.24,163.53,161.32,,-0.61%
11/28/2023,162.88,162.18,163.39,161.79,,0.40%
11/29/2023,160.92,161.93,162.67,160.18,,-1.20%
11/30/2023,162.42,161.1,165.24,161.1,,0.93%
12/01/2023,163.26,162.68,163.92,162.04,,0.52%
12/04/2023,160.7,162.16,162.16,159.29,,-1.57%
12/05/2023,160.58,160.7,161.71,159.86,,-0.07%
